local_timestamp,eeg_timestamp,label
1768153678.5336764,2754933.39880915,PostureStart_Trial_72
1768153681.5479133,2754936.41304695,PostureEnd_Trial_72
1768153681.5480754,2754936.41320945,TrialEnd_Trial_72
1768153682.0623236,2754936.9274580497,Trial_72_Complete
1768153682.0789394,2754936.94407255,Trial_73_Start
1768153682.0790226,2754936.94415515,Posture_A_Flex_your_arm_after_the_sound
1768153682.0790539,2754936.94418615,PromptStart_Trial_73
1768153687.0708039,2754941.93593775,PromptEnd_Trial_73
1768153687.0709462,2754941.93607985,FixationStart_Trial_73
1768153688.072789,2754942.93792315,FixationEnd_Trial_73
1768153688.0729523,2754942.9380861497,PostureStart_Trial_73
1768153691.0790858,2754945.94421955,PostureEnd_Trial_73
1768153691.0792139,2754945.94434765,TrialEnd_Trial_73
1768153691.5822217,2754946.44735585,Trial_73_Complete
1768153691.5982702,2754946.46340435,Trial_74_Start
1768153691.598433,2754946.46356695,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153691.5985498,2754946.46368285,PromptStart_Trial_74
1768153696.591833,2754951.45696715,PromptEnd_Trial_74
1768153696.5919962,2754951.45713005,FixationStart_Trial_74
1768153697.608219,2754952.47335255,FixationEnd_Trial_74
1768153697.6083696,2754952.47350555,PostureStart_Trial_74
1768153700.6222792,2754955.48741355,PostureEnd_Trial_74
1768153700.6224399,2754955.48757385,TrialEnd_Trial_74
1768153701.1370523,2754956.00218625,Trial_74_Complete
1768153701.1534514,2754956.01858565,Trial_75_Start
1768153701.1536133,2754956.0187473497,Posture_A_Extend_your_arm_after_the_sound
1768153701.1537073,2754956.01884015,PromptStart_Trial_75
1768153706.1454875,2754961.01062195,PromptEnd_Trial_75
1768153706.1456578,2754961.01079205,FixationStart_Trial_75
1768153707.160148,2754962.02528225,FixationEnd_Trial_75
1768153707.160308,2754962.0254419497,PostureStart_Trial_75
1768153710.1752906,2754965.04042455,PostureEnd_Trial_75
1768153710.1754525,2754965.04058625,TrialEnd_Trial_75
1768153710.6764266,2754965.54156065,Trial_75_Complete
1768153710.6927335,2754965.55786645,Trial_76_Start
1768153710.6928382,2754965.55797205,Posture_A_Rest_your_arm_extended_after_the_sound
1768153710.6929088,2754965.55804185,PromptStart_Trial_76
1768153715.6909888,2754970.55612315,PromptEnd_Trial_76
1768153715.6911452,2754970.55627915,FixationStart_Trial_76
1768153716.7059844,2754971.57111785,FixationEnd_Trial_76
1768153716.7061267,2754971.57126075,PostureStart_Trial_76
1768153719.718737,2754974.58387085,PostureEnd_Trial_76
1768153719.718893,2754974.58402855,TrialEnd_Trial_76
1768153720.2320461,2754975.09717985,Trial_76_Complete
1768153720.2478178,2754975.11295145,Trial_77_Start
1768153720.2479293,2754975.11306215,Posture_A_Flex_your_arm_after_the_sound
1768153720.2479653,2754975.11309805,PromptStart_Trial_77
1768153725.2410371,2754980.1061707498,PromptEnd_Trial_77
1768153725.2411356,2754980.10626855,FixationStart_Trial_77
1768153726.2495892,2754981.11472305,FixationEnd_Trial_77
1768153726.2497413,2754981.11487455,PostureStart_Trial_77
1768153729.2586133,2754984.1237469497,PostureEnd_Trial_77
1768153729.258742,2754984.12387605,TrialEnd_Trial_77
1768153729.7621393,2754984.62727285,Trial_77_Complete
1768153729.7778604,2754984.64299385,Trial_78_Start
1768153729.7779536,2754984.64308635,Posture_A_Rest_your_arm_flexed_after_the_sound
1768153729.7779894,2754984.64312195,PromptStart_Trial_78
1768153734.7683158,2754989.63345045,PromptEnd_Trial_78
1768153734.7684796,2754989.63361345,FixationStart_Trial_78
1768153735.7760859,2754990.64121945,FixationEnd_Trial_78
1768153735.7762105,2754990.64134305,PostureStart_Trial_78
1768153738.7845633,2754993.6496972498,PostureEnd_Trial_78
1768153738.784703,2754993.64983625,TrialEnd_Trial_78
1768153739.300583,2754994.16571635,Trial_78_Complete
1768153739.3167894,2754994.1819248497,Trial_79_Start
1768153739.3169186,2754994.18205595,Posture_A_Extend_your_arm_after_the_sound
1768153739.3169847,2754994.18211755,PromptStart_Trial_79
1768153744.3020103,2754999.16714385,PromptEnd_Trial_79
1768153744.3021522,2754999.16728625,FixationStart_Trial_79
1768153745.3198504,2755000.18498415,FixationEnd_Trial_79
1768153745.3200045,2755000.18513865,PostureStart_Trial_79
1768153748.3236306,2755003.18876485,PostureEnd_Trial_79
1768153748.3237963,2755003.18893015,TrialEnd_Trial_79
1768153748.839553,2755003.70468685,Trial_79_Complete
1768153748.8559895,2755003.72112305,Trial_80_Start
1768153748.8561208,2755003.72125985,Posture_A_Rest_your_arm_extended_after_the_sound
1768153748.8562205,2755003.72135565,PromptStart_Trial_80
1768153753.855478,2755008.72061205,PromptEnd_Trial_80
1768153753.855646,2755008.72078015,FixationStart_Trial_80
1768153754.869551,2755009.73468505,FixationEnd_Trial_80
1768153754.8697126,2755009.73484825,PostureStart_Trial_80
1768153757.8838577,2755012.74899145,PostureEnd_Trial_80
1768153757.8840148,2755012.74914865,TrialEnd_Trial_80
1768153758.3987348,2755013.2638684497,Trial_80_Complete
1768153758.4163468,2755013.28148115,Trial_81_Start
1768153758.4165108,2755013.28164445,Posture_A_Flex_your_arm_after_the_sound
1768153758.4166234,2755013.28175645,PromptStart_Trial_81
1768153763.407553,2755018.27268655,PromptEnd_Trial_81
1768153763.4077,2755018.27283375,FixationStart_Trial_81
1768153764.4204047,2755019.2855383498,FixationEnd_Trial_81
1768153764.4205573,2755019.28569325,PostureStart_Trial_81
1768153767.4332764,2755022.29840985,PostureEnd_Trial_81
1768153767.4334002,2755022.29853525,TrialEnd_Trial_81
1768153767.9446564,2755022.80979035,Trial_81_Complete
1768153767.9613447,2755022.8264785497,Trial_82_Start
1768153767.961505,2755022.82663895,Posture_A_Rest_your_arm_flexed_after_the_sound
